Short name,Official name,English name ,Municipality ,Address,Coordinates,URL,Designated,Criteria,Description,Short description,Object type,Construction year,Architect
Carev most,Istorijski spomenik – Careva ćuprija u Sarajevu,"Emperor’s bridge, the historical monument",Sarajevo - Stari Grad,"Konak bb, 71000 Sarajevo","43.8577796 N
18.4303092 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3074?return=&search=idgrad:undefined:86|,11/3/2009,"A, B, D(iv), E(iii,v), F(ii)","Stari Carev most, koji je podigao osnivač Sarajeva, Isa-beg Ishaković porušen je 1897. godine, da bi odmah dvadesetak metara uzvodno bio sagrađen novi Carev most koji predstavlja pionirski pokušaj upotrebe armiranobetonske konstrukcije u mostogradnji Austro-Ugarske monarhije. Carev most se sastoji od jednog armirano-betonskog luka dužine oko 29 metara sa blagom, skoro radijalnom niveletom čija visina na sredini mosta iznosi oko 5 metara. Sadašnja željezna ograda, čija visina iznosi 1,10 metara nije autentična ograda kakva je vidljiva na starim fotografijama.",Carev most predstavlja pionirski pokušaj upotrebe armiranog betona u gradnji mostova u Austro-Ugarskoj monarhiji.,Most,"1439.-1462. godine Isa-beg Ishakovićeva ćuprija
1897. Carev most
",J. Pelikan/Šuster
Careva džamija,"Graditeljska cjelina Careve (Hatibove, Stare sultan Mehmeda, Stare-Atik, Gazi sultan Fatih Mehmed-hanove) džamije sa Isa-begovom banjom u Sarajevu","Careva (Emperor’s) mosque, the architectural ensemble",Sarajevo - Stari Grad,"Obala Isa-bega Ishakovića br. 2, 71000 Sarajevo","43.8573746 N
18.4302618 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2512?return=&search=idgrad:undefined:86|,3/11/2004,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii,iii,iv,v), E(i,ii,iii,iv,v), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i,ii,iii), I(i,ii,iii)","Graditeljska cjelina se sastoji iz džamije sa prednjim i bočnim trijemovima, unutrašnjeg dvorišta sa šadrvanom, zgrade Ulema-medžlisa, harema sa nišanima, turbetom šejha Bistrigije, kamenim zidovima ograde, dvije kapije i objekata Isa-begove banje. Careva džamija pripada tipu potkupolnih džamija izgrađenih od kamena, sa kamenom kupolom i kamenom munarom. U unutrašnjosti džamije nalaze se kameni mihrab sa stalaktitima, minber i mahfil. U bočne tetime se ulazi iz centralnog džamijskog prostora, a svaka od tetima ima dvokrilna vrata i na fasadnom zidu. Džamija je više puta obnavljana i sadrži više vrijednih slikarskih slojeva u enterijeru. U haremu džamije nalazi se turbe sarajevskog muftije šejha Ibrahim-efendije Bistrigije i veće groblje sa preko stotinu nišana. Objekat Ulema-medžlisa projektovao je arhitekta Karel Pařík 1912. godine, a objekat nove Isa-begove banje, danas hotela, projektovao je Josip pl. Vancaš 1890. godine.",Careva džamija izgrađena je u kamenu i sadrži više slikarskih slojeva u enterijeru. U sklopu kompleksa nalazi se objekat Ulema-medžlisa.,Sakralni objekat (džamija),"Prije 1459. godine. 
U današnjem obliku džamija je izgrađena 1565. godine.
","Osmanski period: Arhitekta nepoznat
Austrougarski period: Karel Pařík i Josip pl. Vancaš
"
Crkva Presvetog Trojstva,Istorijska građevina – Crkva Presvetog Trojstva u Sarajevu,"Church of the Holy Trinity, the historic building",Sarajevo - Novo Sarajevo,"Zmaja od Bosne br. 86, 71000 Sarajevo","43.852327 N
18.382161 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3227?return=&search=idgrad:undefined:86|,13/5/2009,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii,iii,iv), E(i,ii,iii,iv,v), G(i,ii,iii,iv,v,vi,vii), H(i), I(i,ii,iii)","Crkva Presvetog Trojstva u Sarajevu predstavlja okosnicu urbanog razvoja novog dijela Sarajeva. Prema svojim arhitektonskim vrijednostima, ovaj objekat je jedno od značajnih ostvarenja istoricizma u sakralnoj umjetnosti Sarajeva i čitave Bosne i Hercegovine. Objekat crkve predstavlja umjetničku cjelinu koja posjeduje neoromaničke karakteristike. Primjena romaničkih stilskih elemenata vidljiva je u oblikovanju ulaznog portala sa zvonikom, kao i na svim fasadama objekta na kojima su izrađene dvobojne trake u alternaciji oker-žute boje, zatim arhitektonskoj plastici sa romano-gotičkim motivima, kao i na prozorima koji su ukrašeni vitražima.",Crkva Presvetog Trojstva predstavlja jedno od najznačajnijih ostvarenja istoricizma u Bosni i Hercegovini.,Sakralni objekat (crkva),1906. godina,Josip pl. Vancaš
Crkva Svetog Ćirila i Metoda sa Bogoslovijom,Graditeljska cjelina – Crkva svetog Ćirila i Metoda sa Bogoslovijom u Sarajevu,"Church of SS Cyril and Methodius with the Seminary in Sarajevo, the architectural ensemble",Sarajevo - Stari Grad,"Josipa Štadlera br. 5, 71000 Sarajevo","43.8608164 N
18.4254622 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3335?return=&search=idgrad:undefined:86|,11/3/2011,"A, C(i,ii,iii,iv,v), D(iii), F(ii), G(iii,v), H(iii), I(i,ii,iii)","Crkva Svetog Ćirila i Metoda sa Bogoslovijom u Sarajevu
predstavlja vrijedan objekat nastao u austrougarskom periodu. Od 1893. godine ovdje je smješteno prvo Sjemenište u Bosni i Hercegovini. U sklopu graditeljske cjeline se nalazi i Crkva sa osnovom oblika grčkog krsta. Crkveni enterijer sadrži pet oltara radionice Ferdinand Stuflesser sa skulpturama i oltarnim slikama Josipa Kirklera, zidna dekoracija i freske koje su izveli Ivana Kobilica, Oton Iveković, Anastas Bocarić i Karl Richter. Glavni oltar u crkvi posvećen je svetom Petru i Pavlu. U hodnicima Bogoslovije izložena je kolekcija vrijednih umjetničkih slika sa prizorima iz života svetaca Družbe Srca Isusova. Crkva svetog Ćirila i Metoda projektovana je po uzoru na crkvu svetog Petra u Rimu. Kompleks je projektovan u stilu neorenesanse. 
",Crkva Svetog Ćirila i Metoda sa Bogoslovijom projektovana je po uzoru na crkvu Svetog Petra u Rimu. U crkvi se nalaze vrijedne skulpture i freske.,Sakralni objekat (crkva) i obrazovni objekat (bogoslovija),1896. godina,Josip pl. Vancaš
Crkva Svetog Josipa,Istorijska građevina – Crkva sv. Josipa na Marijin-dvoru u Sarajevu,"Church of St. Joseph in Marijin Dvor, the historic monument",Sarajevo - Centar ,"Fra Anđela Zvizdovića bb, Trg Karla Paržika, 71000 Sarajevo","43.8563113 N
18.4065009 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3022?return=&search=idgrad:undefined:86|,29/3/2008,"A, B, C(i,ii,iii,iv,v), D(iii), E(ii,v), F(ii), G(i,ii,iii,v), H(iii), I(iii,iv)","Crkva je trobrodna bazilika sa transeptom, sa dva oratorija i dvije sakristije s dubokim polukružno završenim svetištem na sjevernoj strani i sa horom na južnoj strani, na kojem se nalaze orgulje. Nad krilima transepta su bačvasti svodovi raspona 9 metara, a nad sjecištem glavnog broda i transepta počiva kupola istog prečnika. Ova kupola je izvana skrivena kubusom četverovodnog krova. Dužina crkve iznosi 48,55m, širina 22,51m, a visina zvonika 31,31m. Površina objekta iznosi 953m2. U suterenu crkve nalazi se kripta s projektovanim grobnicama na čijoj je sredini biskupska grobnica u koju su 1997. godine iz Madrida preneseni posmrtni ostaci nadbiskupa Ivana Šarića. Tokom radova na obnovi crkve, u periodu do 2002. godine, u ovoj kripti su vršeni obredi mise.  Crkva Svetog Josipa na Marijin-dvoru se nalazi u vrlo dobrom fizičkom stanju očuvanosti.",Crkva Svetog Josipa je trobrodna bazilika sa transeptom. U suterenu crkve nalazi se kripta.,Sakralni objekat (crkva),1939. godina,Karel Pařík
Crkva Svetog Vinka,Graditeljska cjelina – Crkve svetog Vinka Paulskoga u Sarajevu,"Church of St. Vinko Paulski, the architectural ensemble",Sarajevo - Centar ,"Maršala Tita br. 42, 71000 Sarajevo","43.8586791 N
18.418525 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3351?return=&search=idgrad:undefined:86|,7/9/2011,"A, C(ii,iii,iv,v,vi), D(iii), E(ii,iv), F(ii,iii), G(i,v), H(iii), I(i,iii)","Crkva Svetog Vinka Paulskog predstavlja najstariju sačuvanu katoličku crkvu iz austrougarskog perioda u Sarajevu. Osnovni materijal korišten za izgradnju kompleksa je kvalitetna opeka, a u pogledu stilskog određenja, svi objekti su izgrađeni u istoricističkom maniru, izuzev zgrade Škole, gdje su vidljivi uticaji secesije. Crkva pripada tipu jednobrodnih objekata zidanih opekom sa zvonikom na sjeveru i apsidom na jugu. Objekat ima pravougaonu osnovu dimenzija 7,90m x 21,60m, a uzdužna osovina je orijentirana u pravcu sjever – jug. Unutrašnjost se sastoji od narteksa, naosa i svetišta. Samostanska zgrada predstavlja uglovnicu koja se sastoji od sjevernog dijela usmjerenog ka Titovoj ulici dimenzija 21,85m x 23,13m i istočnog dijela usmjerenog ka Šenoinoj ulici dimenzija 25,88m x 14,55m. Školska zgrada, kao i samostan, predstavlja uglovnicu koja se sastoji od istočnog dijela usmjerenog ka Šenoinoj ulici dimenzija 28,20m x 14,55m i južnog dijela usmjerenog ka ulici Branilaca grada dimenzija 10,75m x 23,45m.",Crkva Svetog Vinka Paulskog je najstarija sačuvana katolička crkva u Sarajevu koja potiče iz austrougarskog perioda.,Sakralni objekat (crkva),1883. godina,Josip pl. Vancaš
Crkva u Reljevu,Graditeljska cjelina – Crkva Prenosa mošti Sv. Oca Nikolaja i zgrada Bogoslovije u Reljevu,"Church of the Translation of the Relics of Metropolitan Nikolaj and the Seminary building in Reljevo, the architectural ensemble",Sarajevo - Novi Grad,"Paljevska bb, 71000 Sarajevo","43.8867308 N
18.3194175 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3310?return=&search=idgrad:undefined:86|,26/10/2010,"A, C(i,ii,iii,v), E(ii,v), F(iii), G(i,ii,v), I(iii)","Crkva Prenosa mošti Svetog oca Nikolaja u Reljevu pripada tipu jednobrodnih zasvođenih crkvi sa zvonikom, zidanih kamenim blokovima i opekom, sa polukružno završenim svetištem na istočnoj strani i horom na zapadnoj ulaznoj strani. Godine 1917. obustavljen je rad Bogoslovije u Reljevu, čije je sjedište prebačeno u Sarajevo. Od tada, pa do 1941. godine zgrada Bogoslovije u Reljevu ima funkciju sirotišta. Nakon 1945. godine zgrada Bogoslovije je adaptirana u osnovnu školu “Gavrilo Princip” koja je bila u funkciji sve do 1995. godine. Godine 1996. objekat je devastiran, i od tada škola prestaje sa radom. Crkva je nakon radova obnove iz 2005. godine, u dobrom konstruktivnom stanju, a zgrada Bogoslovije je devastirana.",Crkva Prenosa mošti Svetog oca Nikolaja u Reljevu pripada tipu jednobrodnih zasvođenih crkvi sa zvonikom.,Saklarni objekat (crkva) i obrazovni objekat (bogoslovija),"1884. godine izgrađena Bogoslovija
1886. godine izgrađena Crkva
",Josef Czerny
Crkvina kod sela Vrutci,Istorijsko područje – ostaci predromaničke crkve i srednjovjekovno groblje Crkvina kod sela Vrutci,"Crkvina near the village of Vrutci, the remains of a pre-romanesque church and mediaeval burial ground - the historic site",Ilidža,"Selo Vrutci, 71210 Ilidža","43.8168595 N
18.2747027 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2497?return=&search=idgrad:undefined:86|,1/9/2004,"A, B, C(iv,v), D(i,iv), E(i,ii), G(i,v), H(i)","Najstarija ranohrišćanska crkvena građevina u Bosni je u Vrutcima na lokalitetu Crkvina u blizini Ilidže i posvećena je sv. Stjepanu, Prvomučeniku. Objekat je jednostavne pravougaone osnove sa istaknutom izvana pravougaonom, a iznutra polukružnom apsidom. Vjerovatno je ispred apside bio i oltar. Pronađen je bogat kameni materijal ukrašen pleterom a što je specifičnost upravo ranohrišćanskih, odnosno ranoromaničkih crkvi. Oltarska pregrada ispred apside stajala je na stubovima a vjerovatno joj je arhitravna greda bila drvena. Iznad ulaza bio je timpanon sa oznakom hrišćanstva. Kako je crkva tokom istorije srušena postoje samo ostaci a oko nje se sačuvala velika nekropola stećaka. Nekropolu sa stećcima čini 80 spomenika u obliku sanduka.",Najstarija ranohrišćanska crkvena građevina u Bosni. Posvećena je sv. Stjepanu Prvomučeniku i nalazi se u selu Vrutci nedaleko od Sarajeva. ,Sakralni objekat (crkva) i nekropola stećaka,Prelaz sa IX na X vijek,Arhitekta nepoznat
Despića kuća,Graditeljska cjelina - Despića kuća u Sarajevu,"Despića house, the historic building",Sarajevo - Stari Grad,"Despićeva br. 2, 71000 Sarajevo","43.8576° N
18.4274° E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2540?return=&page=4,16/3/2005,"A, B, C(i,ii,iii,iv,v,vi), D(ii,iii,iv,v), E(iii,iv,v), F(i,ii,iii), G(i,ii,iii,iv,v), H(i), I(i,ii)","Despića kuća građena je u nekoliko faza i sadrži elemente osmanske i austrougarske stambene arhitekture. Najstariji dio kuće potiče iz osmanskog perioda i nastao je spajanjem dvije kuće, a u austrougarskom period je objekat proširen prema obali. U kući je bilo prvo pozorište u Sarajevu čiji glavni glumac je bio i vlasnik kuće, Hadži Makso Despić. Despića kuća je sanirana 2001. godine I trenutno je jedan od depadansa Muzeja Sarajevo i u njoj su izloženi eksponati koji svjedoče o kulturi življenja na prelazu iz osmanskog u austrougarski period. Objekat ima tri etaže; podrum, prizemlje i sprat.",U Despića kući je bilo prvo pozorište u Sarajevu. Kuća je građena u nekoliko faza i sadrži elemente osmanske i austrougarske stambene arhitekture.,"Porodična kuća, muzej","Prva faza: XVII vijek
Druga faza: 1820. godina
Treća faza: 1879. godina
Četvrta faza: 1882. godina
","Prve tri faze: nepoznato
Četvrta faza: Franjo Linardović i Franjo Moise
"
Gajret,Istorijska građevina – Dom društva Gajret u Sarajevu,Historic Gajret Centre building in Sarajevo,Sarajevo - Stari Grad,"Branilaca Sarajeva br. 28, Sarajevo 71000","43.8574967 N
18.4221903 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3816?return=&search=idgrad:undefined:86|,4/2/2014,Decision is not available online ,"Muslimansko kulturno prosvjetno društvo ""Gajret"" osnovano je 20.2.1903. godine sa ciljem da prikupljanjem materijalnih sredstava pomaže školovanje muslimanskih đaka, naročito na srednjim i visokim školama. Osnovano od grupe muslimanskih (bošnjačkih) intelektualaca (jedan od osnivača je kao i prvi predsjednik ovog društva je bio Safvet-beg Bašagić), spočetka bez podrške vođa autonomnog pokreta koji smatraju da borbi za vjersko prosvjetnu autonomiju treba podrediti sav ostali rad, društvo ""Gajret"" se brže razvijalo i u narodu proširilo organizaciju od 1907 godine. Do izbijanja Prvog svjetskog rata rad društva ne ograničava se samo na pomaganje školovanja đaka, iako se tome prirodno posvećuje najveća pažnja, nego se proširuje i na izdavanje časopisa ""Gajret"". Zbog protivrežimske orijentacije ""Gajret"" je početkom rata morao obustaviti rad, dok su njegovi vodeći radnici stradali po austrijskim zatvorima i internaciji (Avdo Sumbul, Behdžet Mutevelić). Njegov rad obnovljen je poslije Prvog svjetskog rata, prekinut je u toku Drugog svjetskog rata i nastavljen nakon toga do 1949. godine.","Muslimansko kulturno-prosvjetno društvo ""Gajret"" osnovano je sa ciljem da pomaže školovanje đaka, naročito u srednjim i visokim školama.",Javni objekat (Društveni dom),1936. godina,Dušan Smiljanić
Čekrekčijina džamija,Graditeljska cjelina - Čekrekčinica (Čekrekči Muslihudinova) džamija sa dućanima u Sarajevu,"Čekrekčijina mosque, the architectural ensemblež",Sarajevo - Stari Grad,"Kračule bb, Baščaršija, 71000 Sarajevo","43.859906 N
18.4316009 E
",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2511?return=&search=idgrad:undefined:86|,3/11/2004,"A, B, C(i,iii,iv,v), D(iv,v), E(ii,iii,iv,v), G","Džamiju je podigao Muslihudin hadži Mustafa Čekrekčija 1526. godine. Danas je ona najstarija sačuvana potkupolna džamija u Sarajevu, a poslije livanjske Balagijine (Balaguša) džamije, najstarija sačuvana potkupolna džamija u Bosni i Hercegovini. Džamija ima plitku kupolu, i opasana je dućanima. Džamija pripada jednoprostornom tipu džamija od kamena, pokrivenih kamenom kupolom sa munarom od kamena. Mihrab ima stalaktitnu dekoraciju. Minber je jednostavan sa donjim dijelom zidanim s nišama na obje strane i gornjim drvenim dijelom. Mahfil je od drveta. Kupola, potkupolni prostor, prostor nad mihrabom i površine zidova prekriveni su ornamentima geometrijskog i biljnog porijekla. Džamija ima plitku kupolu, i opasana je dućanima. Sačuvani su dijelovi autentične arabeske. U periodu 1997.-2000. godine, poduzet je obiman Projekat radova konstruktivne sanacije, rekonstrukcije i restauracije džamije.",Čekrekčijina džamija je najstarija sačuvana potkupolna džamija u Sarajevu. Džamija ima plitku kupolu i opasana je dućanima.,Sakralni objekat (džamija),1526. godina,Arhitekta nepoznat
"Električna centrala na Hisetima, Valterova centrala",Graditeljska cjelina – Električna centrala na Hisetima (Marijin-Dvoru) u Sarajevu,The architectural ensemble - Electric power station at Hiseta (Marijin-Dvor),Sarajevo - Centar ,"Hiseta bb, 71000 Sarajevo","43.8557442 N
18.4119195 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3905?return=&search=idgrad:undefined:86|,4/3/2015,"A, C(i,ii,iii,iv,v,vi), D(iii), F(ii), G (i,ii,v), H(iii)","Graditeljska cjelina se sastoji od industrijskog postrojenja, upravne zgrade i spomenika Vladimiru Periću Valteru. Električna centrala na Hisetima predstavlja jedno od najznačajnijih industrijskih ostvarenja austrougarskog perioda u Bosni i Hercegovini. Električnom energijom iz centrale na Hisetima snabdjevan je jedan od prvih električnih tramvaja u Evropi, a Sarajevo je iste 1895. godine dobilo javnu električnu rasvjetu. Kompleks je građen u duhu istoricizma i ima visoku ambijentalnu vrijednost. Smješten je u centralnom dijelu Sarajeva, na potezu Kotromanićeve ulice i Hiseta, gdje su sačuvani istoricistički objekti iz austrougarskog perioda posebnog dokumentarnog, istorijskog i estetskog značaja.",Električna centrala na Hisetima predstavlja jedno od najznačajnijih industrijskih ostvarenja austrougarskog perioda u Bosni i Hercegovini.,Industrijski objekat,1894. godina,Karel Pařík
Električna centrala na Hridu,Industrijska graditeljska cjelina električne centrale na Hridu (Dudinom Hridu) u Sarajevu,"Electric power station at Hrid (Dudin Hrid), the industrial architectural ensemble",Sarajevo - Stari Grad ,"Kamenica bb, Dudin Hrid, 71000 Sarajevo","43.8524631 N18.4376597 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3281?return=&search=idgrad:undefined:86|,2/12/2009,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii,iii), F(i,ii,iii), H(i,ii,iii,iv,v), I(i), J(i,ii,iii,iv)","Dobro predstavlja veoma rijedak i sačuvan primjer industrijskog nasljeđa iz perioda austrougarske uprave u Bosni i Hercegovini. Ovo je rijedak primjer objekta hidroelektrane, kojoj se tlačnim čeličnim cjevovodom (sa svom pripadajućom izgrađenom infrastrukturom), dužine cca 3.200 metara, voda, sa Brusa na Trebeviću, dovodi u centralu, kinetička energija koristi za pokretanje turbina i proizvodnju električne energije, a zatim ta ista voda deponuje u vodorezervoaru Hrid i kao potpuno pitka koristi u vodosnabdijevanju grada Sarajeva. Imajući u vidu činjenicu da je prva električna centrala u svijetu sagrađena 1882. godine u Njujorku (Nju Džersi), izgradnja električne centrale, na parni pogon, na Hisetima, uz Miljacku, 1895. godine, te izgradnja hidroelektrane na Hridu 1913-1917 godine, sagledavajući izgradnju hidroelektrane u kontekstu vremena i prostora, dovodi Sarajevo u ravnopravan položaj sa ostalim svjetskim prestonicama tog vremena.",Veoma rijedak i sačuvan primjer industrijskog nasljeđa iz perioda austrougarske uprave u Bosni i Hercegovini.,Industrijski objekat,1917. godina,Arhitekta nepoznat 
Ferhadija džamija,Graditeljska cjelina - Ferhadija džamija (Ferhad-begova džamija) sa haremom u Sarajevu,"Ferhadija mosque, the architectural ensemble",Sarajevo - Stari Grad ,"Vladislava Skarića 2, 71000 Sarajevo","43.8589466 N18.4268825 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2514?return=&search=idgrad:undefined:86|,4/11/2004,"A, B, C(i,iii,iv,v,vi), D(iv,v), E(i,ii,iii,iv,v), F(ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i), I(i,ii,iii)","Graditeljska cjelina se sastoji iz Ferhadija džamije sa šadrvanom i haremom. Džamija pripada tipu jednoprostornih potkupolnih džamija od kamena sa kamenom munarom. Centralni molitveni prostor pokriva kamena kupola, a ulazni trijem tri kamene kupolice. U sredini mihraba sa stalaktitnom dekoracijom nalazi se sedmostrana niša. Minber je masivan i rađen u kamenu. Mahvil je kameni i počiva na četiri kamena stuba sa kapitelima oblikovanim kao kapiteli trijema džamije. Ćurs je od drveta. Umjetnički vrijedna slikana dekoracija u džamiji potiče iz nekoliko istorijskih perioda, a najstarija iz XVI vijeka što je otkriveno tokom radova na restauraciji i konzervaciji džamije. U manjem dvorištu džamije nalazi se dvadesetak nadgrobnih spomenika.",Ferhadija džamija izgrađena je od kamena i pripada tipu jednoprostornih potkupolnih džamija sa kamenom munarom.,Sakralni objekat (džamija),1561./62. godine,Arhitekta nepoznat 
Firuz-begov hamam,Mjesto i ostaci istorijske građevine - Firuz-begov hamam u Sarajevu,"Firuz-bey hammam, the site and remains of the historic building",Sarajevo - Stari Grad ,"Prote Bakovića br. 3. Baščaršija, 71000 Sarajevo","43.8598059 N18.4305933 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3021?return=&search=idgrad:undefined:86|,29/3/2008,"A, B, C(iv), D(v), E(v), F(ii,iii), G(v)","Firuz-begov hamam spada u grupu dvostrukih hamama, odnosno tkz. čifte hamama, jer su se u njemu nalazili muško i žensko odjeljenje sa posebnim ulazima. Većina prostorija je bila zasvođena kupolama, a danas su vidljivi samo ostaci zidova nekadašnjeg hamama. Voda za ovaj hamam dovođena je sa dva vrela; jedno vrelo je bilo u selu Mrkovići, a drugo na Sedreniku. Glavni ulaz u Firuz-begov hamam je bio iz pravca Baščaršijskog trga. Firuz-begov hamam napušten je polovinom XIX vijeka, nakon čega se ubrzo i urušio. Danas predstavlja arheološki lokalitet na čijem se istočnom dijelu nalaze ostaci objekta, a na zapadnoj strani se nalazi devastirani objekat podignut na ostacima hamama.","Firuz-begov hamam spada u grupu dvostrukih hamama, odnosno tkz. čifte hamama, jer su se u njemu nalazili muško i žensko odjeljenje sa posebnim ulazima.",Javni objekat (hamam),između 1505. i 1512. godine,Arhitekta nepoznat 
Franjevački samostan i Crkva sv. Ante,"Graditeljska cjelina - Franjevački samostan i Crkva sv. Ante u Sarajevu, zajedno sa pokretnom imovinom","Franciscan monastery and the church of St Anthon together with its movable property, the architectural ensemble",Sarajevo - Stari Grad ,"Franjevačka br. 6, Bistrik, 71000 Sarajevo","43.8560131 N18.4311641 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2898?return=&search=idgrad:undefined:86|,8/11/2006,"A, B, C(i,ii,iii,iv,v,vi), D(ii,iii,iv), E(i,ii,iii,iv,v), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i)","Graditeljska cjelina se sastoji iz crkve sa tornjem i samostanske zgrade koji su mođusobno povezani pasarelom. Objekat crkve pripada tipu trobrodnih neogotičkih bazilika I izgrađen je na mjestu na kojem se nalazila manja crkva. Zidovi su izvedeni od kamena, a krovna konstrukcija je drvena. Zvonik, ukupne visine 43 m, urađen je od kamena. Radove preoblikovanja enterijera izveli su ing. Janko Omahen, a kasnije je crkva uređivana po ideji slikara Mirka Ćurića, te kipara Zdenka Grgića i Frane Kršinića, te Ive Dulčića čijih 17 vitraža je postavljeno u crkvi. Koloristička obrada zidnih površina zvonika, same crkve, kao i samostana, kod koje su zidne mase obojene u tonu habita franjevaca, a elementi dekorativne plastike fasada, kao i vijenci te špalete otvora obojene bijelom bojom, dodatno pojačavaju skulpturalnost objekata. Pokretno naslijeđe Crkve i samostana sv. Ante na Bistriku je u dobrom stanju i zadovoljavajućim uslovima.",Objekat crkve pripada tipu trobrodnih neogotičkih bazilika i izgrađen je na mjestu na kojem se nalazila manja crkva. U sklopu kompleksa je i samostan.,Sakralni objekat (crkva sa samostanom),"1894. godina (Samostan)
1913. godina (Crkva)","Karl Panek (Samostan)Josip pl. Vancaš (Crkva)"
Kuršumlija medresa i Hanikah,Graditeljska cjelina - Gazi Husrev-begova medresa sa mjestom i ostacima Hanikaha u Sarajevu,"Gazi Husrev-beg medresa with the site and remains of the Khanaqah, the architectural ensemble",Sarajevo - Stari Grad ,"Sarači br. 33, Baščaršija, 71000 Sarajevo","43.8596092 N18.4288939 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2858?return=&page=2&search=idgrad:undefined:86|,5/5/2006,"A, B, C(i,ii,iii,iv,v,vi), D(ii,iv,v), E(i,ii,iii,iv,v), F(i,ii)","Gazi Husrev-begova medresa pripada tipu zatvorenih medresa sa unutrašnjim dvorištem sa trijemom iz koga se ulazi u sobe za učenike i dershanu. Ovaj tip medresa građen je najčešće kao samostalna građevina, u blizini džamije. Gazi Husrev-begova medresa predstavlja najstarije očuvanu medresu u Bosni i Hercegovini. Središte kompozicije medrese predstavlja njeno unutrašnje dvorište dimenzija 9,40 x 10,43 metara, koje je sa tri strane uokvireno trijemom sa arkadama. Objekt hanikaha izvorno se sastojao od ulaznog portala, otvorenog dvorišta sa trijemom, derviških soba, semahane i šadrvana. Značajan dio Hanikaha je porušen 1931. godine. Graditeljska cjelina je u dobrom stanju, nakon završenih konzervatorsko-restauratorskih radova i radova na rekonstrukciji Hanikaha iz 1998. godine.",Gazi Husrev-begova medresa predstavlja najstarije očuvanu medresu u Bosni i Hercegovini. Iznad ulaznog portala nalazi se vrijedna stalaktitna dekoracija.,Obrazovni objekat (medresa),"1531. godina (Hanikah)
1537./38. godina (Medresa)",Arhitekta nepoznat 
"Gazi Husrev-begov bezistan, Bezistan",Graditeljska cjelina – Gazi Husrev-begov bezistan sa dućanima u Sarajevu,"Gazi Husrev-beg bezistan with shops, the architectural ensemble",Sarajevo - Stari Grad ,"Gazi Husrev-begova bb, 71000 Sarajevo","43.8586287 N18.4279184 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2857?return=&search=idgrad:undefined:86|,5/9/2006,"A, B, C(i,ii,iii,iv,v,vi), D(iv,v), E(iii,v), F(i,ii,iii), H(i,ii)","Gazi Husrev-begov bezistan je jedan od dva sačuvana bezistana u Sarajevu, koji i danas služi svojoj nameni — trgovini. Bezistan je dio vakufa (zadužbine) Gazi Husrev-bega, jedne od najvažnijih istorijskih ličnosti za razvoj Sarajeva. Bezistan bazikalnog tipa i ima pravougaonu osnovu sa ulazima, koji zatvaraju 109 metara dugu ulicu u kojoj su smještene male trgovine. Gazi Husrev-begov bezistan pripada tipu arasti koje se nalaze u kombinaciji sa nekim drugim objektom komercijalne namjene. Zajedno sa Tašlihanom je činio sastavni dio većeg kompleksa u kojem su trgovci iz bezistana mogli lako da dolaze u kontakt sa mletačkim i dubrovačkim trgovcima koji su odsjedali u Tašlihanu. U bezistanu su se nalazila ukupno 52 dućana. Objekat je izgrađen od kamena i u cjelini je pokriven bakarnim limom.   ",Gazi Husrev-begov bezistan izgrađen je od kamena i predstavlja građevinu bazikalnog tipa. Bezistan je i dalje u funkciji.,Poslovni objekat (bezistan),Između 1537. i 1557. godine,Arhitekta nepoznat
