Short name,Official name,English name ,Municipality ,Address,Coordinates,URL,Designated,Criteria,Short description,Object type,Construction year,Architect
Jevrejsko groblje,Jevrejsko groblje,Jewish cemetery,Jajce,"Donja Katina, Jajce 70101",XX,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3970?return=&search=idgrad:undefined:46|,2/2/2016,"A, B, C (i, ii, iIi), D (i, iv, v), E (iii, v), G (i, ii, iv, v), H",Jevrejsko groblje u Jajcu svjedoči o životu sefarda i aškenaza u ovom gradu. Na groblju se nalazi 19 nadgrobnih spomenika.,Groblje,1899. godine ,/
Katakombe,"Katakombe u Jajcu, historijski spomenik","Catacombs in Jajce, the historical monument",Jajce,"Svetog Luke, Jajce 70101",44.339506 N 17.268410 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/274?return=&search=idgrad:undefined:46|,21/1/2003,"A, B, C (i, iv, vi), E (ii, iv, v), F (ii), G (i, ii, iii, v, vi), H (i), I (i, iii, iv)","Vjeruje se da je Hrvoje Vukčić Hrvatinić, jajački knez, tokom svoje vladavine dao nalog da se isklešu katakombe kao njegova grobnica i grobnica njegove porodice.",Sakralni objekt (crkva),kraj IV ili tokom V vijeka,Arhitekt nepoznat
Kršlakova kuća ,"Kršlakova kuća (Kapetanovića kuća, Kršlakova kuća broj 2), historijska građevina","Kršlak house (Kapetanović house, Kršlak house no. 2), the historic building",Jajce,"Donja Mahala, Jajce 70101",44.340133 N 17.270671 E,"This national monument is not in new online archive, therefore the link is not available yet",3/3/2004,"A, B, C (v), F (ii, iii)",Ova kuća predstavlja primjer tradicionalne gradnje u Jajcu. U dvorištu se nalazi zatrpan bunar koji predstavlja jedini bunar u donjem dijelu jajačke utvrde.,Stambeni objekt,kraj XVIII vijeka,Arhitekt nepoznat
Kršlakova stara kuća,"Kršlakova stara kuća, mjesto i ostaci historijske građevine","Old Krslak house, the site and remains of the historic building",Jajce,"Donja Mahala, Jajce 70101",44.340611 N 17.271444 E,"This national monument is not in new online archive, therefore the link is not available yet",21/1/2004,"A, B, C (v), F (ii, iii)",Tipičan primjer gradnje u Jajcu. Dvorište kuće (avlija) prekriveno je kaldrmom.,Stambeni objekt,kraj XVIII vijeka,Arhitekt nepoznat
Hram Boga Mitre,"Mitrej u Jajcu, historijski (antički sakralni) spomenik","Mithraeum in Jajce, the historic (antique religious) monument",Jajce,"Mitrasova, Jajce 70101",44.340706 N 17.266022 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1317?return=&search=idgrad:undefined:46|,21/1/2003,"A, B, E (ii, iii, iv, v), F (i, ii, iii), G (i, iii, v), H (i), I (i)","Kult nepobjedivog boga Sunca - Mitre njegovali su vojnici, trgovci i robovi porijeklom iz Orijenta. Ova vjera obećavala je više socijalne pravde i zagrobni život, privlačila je niže slojeve društva.",Sakralni objekt,IV vijek,Arhitekt nepoznat
Musafirhana u Jajcu,"Musafirhana u Jajcu, mjesto historijske graðevine","Musafirhana in Jajce, the site of the historic monument",Jajce,"Hrvoja Vukčića Hrvatinića, Jajce 70101",44.338516 N 17.270589 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1918?return=&search=idgrad:undefined:46|,20/1/2004,"A, B, C (iii, iv), D (iv), F (i, ii, iii)",Predstavljala je primjer tradicionalne jajačke kuće. Izgradio ju je Hadži Jusuf Mulalić zajedno sa derviškom tekijom. U potpunosti je uništena tokom 1992-1995. godine. ,Stambeni objekt,XIX vijek,Arhitekt nepoznat
Nekropola sa stećcima u Vincu,"Nekropola sa stećcima u Vincu, historijsko područje","Necropolis with stećak tombstones at Vinac, the historic site",Jajce,"Vinci, Jajce 70101",44.276207 N 17.282543 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3326?return=&search=idgrad:undefined:46|,26/10/2010,"A, B, D (i, iv), E (i, ii, v)",Na lokalitetu se nalazi 38 stećaka koji su slabo obrađeni i očuvani. Nalaze se na obje strane glavnog puta.,Groblje,/,/
Omerbegova kuća,"Omerbegova kuća, graditeljska cjelina","Omerbeg house, the architectural ensemble",Jajce,"Hrvoja Vukčića Hrvatinića, Jajce 70101",44.3387528 N 17.2681796 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1337?return=&search=idgrad:undefined:46|,2/7/2003,"A, B, C (iii, iv), D (iv), F (i, ii, iii)",Tipičan primjer bosanske arhitekture iz osmanskog perioda. Nalazi se uz Travničku kapiju sa kojom je povezan dvorištem.,Poslovni objekt (restoran),druga polovica XVIII vijeka,Arhitekt nepoznat
Parna lokomotiva,"Parna lokomotiva, dio postavke Muzeja II zasjedanja AVNOJ-a, historijski spomenik","Steam locomotive forming part of the exhibits of the Museum of the 2nd AVNOJ Session, the historic monument",Jajce,"Drugog zasjedanja AVNOJ-a bb, Jajce 70101",44.338113 N 17.268193 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3736?return=&search=idgrad:undefined:46|,2/9/2013,"A, B, D (ii, v), E (iii, v), F (ii, iii)","Imala je naziv ""Mala partizanka"" jer je tokom Drugog svjetskog rata prevozila delegacije iz Slovenije i Hrvatske na Drugo zasjedanje AVNOJ-a.",Historijski spomenik (lokomotiva),XX vijek,/
Plivska jezera sa kompleksom mlinova,"Plivska jezera sa kompleksom mlinоva na Plivi, kulturni krajolik","Pliva Lakes with mills complex on Pliva river, the cultural area",Jajce,"Kralja Stjepana Tomaševića, Jajce 70101",44.3472417 E 17.2271252 E,"This national monument is not in new online archive, therefore the link is not available yet",12/3/2009,"C (iii), D (iii, v), F (i, ii, iii), G (v), H (i, ii, iii)",Prirodni i kulturni krajolik čine nekoliko jezera i mlinova koje su izradili narodni graditelji. Mlinovi su postali nerazdvojivi dio prirodnog okruženja i dokaz skromnosti i umijeća njihovih graditelja.,Kulturni krajolik,srednji vijek (ne postoje precizni podaci),/
Rimokatoličko groblje Hrast,"Rimokatoličko groblje Hrast, grobljanska cjelina","Roman Catholic cemetery Hrast, the burial ground",Jajce,"Nova cesta, Jajce 70101",44.344549 N 17.275752 E,"This national monument is not in new online archive, therefore the link is not available yet",21/1/2004,"A, C (v), D (iv), E (iii, iv, v), G (vi), I (iii)",Groblje je aktivno duži niz godina zbog čega su prisutni nadgrobni spomenici iz različitih perioda. Na groblju se nalaze i nadgrobni spomenici podignuti austrougarskim vojnicima poginulim tokom Prvog svjetskog rata.,Groblje,prva polovica XVIII stoljeća (ne postoje precizni podaci),/
"Saračeva kuća, zgrada Finansija i Stara osnovna škola","Saračeva kuća, zgrada Financija (Niža stručna škola) i Stara osnovna škola (Niža muzička škola), graditeljska cjelina","Sarač’s house, the Finances Building (Lower Vocational School) and the Old primary school (Lower Music School), the architectural ensemble",Jajce,"Svetog Luke 15, Jajce 70101",44.339469 N 17.269218 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1927?return=&search=idgrad:undefined:46|,3/3/2004,"A, B, D (iv), F (i, ii) ","Predstavljaju primjere austrougarske arhitekture u Jajcu koji su tokom postojanja imali značajnu ulogu u historiji Jajca, BiH i Jugoslavije. Zavičajni muzej sa etnološkom zbirkom danas je smješten u zgradi Stare osnovne škole.",Graditeljska cjelina,Saračeva kuća - 1899. godine                         Zgrada finansija - kraj XIX vijeka (oko 1882. godine) Zgrada stare osnovne škole - kraj XIX vijeka (oko 1880. godine),Arhitekt nepoznat
Sinan-begova džamija,"Sinan-begova ili Okića džamija, historijska građevina","Sinan-Bey or Okić Mosque, the historic building",Jajce,"Gornja mahala, Jajce 70101",44.340557 N 17.270230 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/1313?return=&search=idgrad:undefined:46|,21/1/2003,"A, B, C, E (ii, v), F (ii), H","Nastala je kao zadužbina Sinan-bega Džabića, a zovu je još i Okića džamija jer su dugo vremena u njoj imami bili iz porodice Okić.",Sakralni objekt (džamija),oko 1689. godine,Arhitekt nepoznat
Hafizadića česma,"Stara ili Hafizadića česma, historijski spomenik","Old or Hafizadića drinking fountain, the historic monument",Jajce,"Hrvoja Vukčića Hrvatinića, Jajce 70101",44.338703 N 17.270357 E,"This national monument is not in new online archive, therefore the link is not available yet",4/3/2003,"A, B, C (i, ii, iii, v), D (iv, v), E (iii, v), F (iii), G (i, ii, iii, iv)","Česmu je sagradila hadži Šerifa Merjem hanuma. Prvobitno se nalazila 30m dalje, ali je 1948. godine prenesena na ovo mjesto.",Historijski spomenik (česma),1845./46. godine,Arhitekt nepoznat
Stari grad Komotin,"Stari grad Komotin, historijsko područje","Komotin Castle, the historic site",Jajce,"Selo Cvitovići, Jajce 70101",44.405317 N 17.318613 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3348?return=&search=idgrad:undefined:46|,6/9/2011,"A, B, C (i, iii, vi), D (i, iv), E (i, ii, v)","Predstavlja primjer srednjovjekovnog utvrđenog dvorca. U XV vijeku ga je na poklon dobio bosanski kralj Radivoje, ženidbenim vezama.",Historijsko područje,XV vijek,Arhitekt nepoznat
Stari grad Vinac,"Stari grad Vinac, historijsko područje","Old town of Vinac, the historic site",Jajce,"Selo Vinac, Jajce 70101",44.269381 N 17.280951 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2419?return=&search=idgrad:undefined:46|,4/5/2004,"A, B, C (iv), D (i, ii, iv), F (ii, iii), G (i, v)",O Starom gradu Vincu nema mnogo podataka. Neki izvori tvrde da se u Vincu nalazilo nekoliko vojničkih kuća i Sulejmanhanova džamija. Bio je pod vlašću Mađara i Osmanlija.,Historijsko područje,1453. godine se prvi put pominje,Arhitekt nepoznat
Tvrđava u Jajcu,"Tvrđava u Jajcu, graditeljska cjelina","Fortress in Jajce, the architectural ensemble",Jajce,"Harmani, Jajce 70101",44.340737 N 17.269173 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/276?return=&search=idgrad:undefined:46|,21/1/2003,"A, B, C (iii, iv, v), D (ii, v), E (ii, v), F (i, ii, iii), G (v), H (i), I (i, ii, iii)",Tvrđava se nalazi u sklopu skrednjovjekovnog kompleksa grada Jajca koji čine objekti različitog tipa nastali u različitim vremenskim periodima.  ,Graditeljska cjelina,XIII vijek (pretpostavka),Arhitekt nepoznat
Zgrada u ulici Varoš br. 11,"Zgrada u ul. Varoš 11, historijski spomenik","Building at no. 11 Varoš St., the historic monument",Jajce,"Varoš 11, Jajce 70101",44.340680 N 17.273069 E,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3729?return=&search=idgrad:undefined:46|,26/4/2013,"A, C (i, ii, iii), E, F (i, ii, iii), G (i, ii, iii), H (i, ii, iii, iv, v) ","Objekat svojim izgledom podsjeća na slične kuće građene na području Jajca, poput Kršlakove ili Burića kuće. Trenutno je u lošem stanju.",Stambeni objekt,XVIII vijek (pretpostavka),Arhitekt nepoznat
"Zgrada željezničke stanice ""Šipad""","Zgrada željezničke stanice Šipad (Zgrada bivše željezničke stanice Steinbeiss), historijski spomenik","Building of railway station Šipad (the building of ex railway station Steinbeiss), historical monument",Jajce,"Mračaj bb, Jajce 70101",,http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3908?return=&search=idgrad:undefined:46|,4/3/2015,"A, B, D (iv), F (i, ii) ","Najpoznatije privatne pruge u Austrougarskom periodu bile su industrijalca Otta Steinbeissa. Jedna njegova pruga prolazila je kroz Jajce, gdje je dao izgraditi i željezničku stanicu koja će kasnije biti prozvana ""Šipad"".",Industrijski objekt,XX vijek,Arhitekt nepoznat
